Lin	Variant	Status	isVBM
DY.1	Omicron	VOC	F
BF.7.14	Omicron	VOC	F
XBB.1.5	Omicron	VOC	T
DY.2	Omicron	VOC	F
BA.5.2.48	Omicron	VOC	F
BF.7.14.5	Omicron	VOC	F
BF.7.14.4	Omicron	VOC	F
BF.7.14.1	Omicron	VOC	F
XBB.1.16.18	Omicron	VOC	T
FL.4.5	Omicron	VOC	F
XBB.1.16	Omicron	VOC	T
BN.1.2	Omicron	VOC	F
FG.2	Omicron	VOC	F
XBB.1.16.1	Omicron	VOC	T
GU.1	Omicron	VOC	F
XBB.1.5.77	Omicron	VOC	T
XBB.1.5.15	Omicron	VOC	T
FY.3	Omicron	VOC	F
XBB.1.5.13	Omicron	VOC	T
XBB.1.5.1	Omicron	VOC	T
FU.1	Omicron	VOC	F
Unassigned	None	None	F
XBB.1.5.44	Omicron	VOC	T
XBB.1.5.20	Omicron	VOC	T
XBB.1.33	Omicron	VOC	F
XBB.1.16.21	Omicron	VOC	T
XBB.2.3.3	Omicron	VOC	T
FD.2	Omicron	VOC	F
EG.1	Omicron	VOC	F
GJ.1.2	Omicron	VOC	F
XBB.1.5.49	Omicron	VOC	T
BQ.1	Omicron	VOC	F
BQ.1.1	Omicron	VOC	F
GD.1	Omicron	VOC	F
B.1.1.7	Alpha	VOC	F
XBB.1.5.33	Omicron	VOC	T
XBB.1.16.20	Omicron	VOC	T
FL.8	Omicron	VOC	F
BA.5	Omicron	VOC	F
FL.12	Omicron	VOC	F
XBB.2.3.1	Omicron	VOC	T
XBB.1.5.60	Omicron	VOC	T
FE.1	Omicron	VOC	F
XBB.1.5.17	Omicron	VOC	T
BA.1	Omicron	VOC	F
FE.1.2	Omicron	VOC	F
XBB.1.5.86	Omicron	VOC	T
XBB.1.18.1	Omicron	VOC	F
EG.4	Omicron	VOC	F
XBB.1.5.70	Omicron	VOC	T
XBB.1	Omicron	VOC	F
FE.1.1	Omicron	VOC	F
JK.1	Omicron	VOC	F
EY.1	Omicron	VOC	F
XBB.1.5.102	Omicron	VOC	T
EF.1.1.1	Omicron	VOC	F
XBB.1.15.1	Omicron	VOC	F
XBB.1.9	Omicron	VOC	F
B.1.564	None	None	F
BQ.1.18	Omicron	VOC	F
B.1.2	None	None	F
BA.2	Omicron	VOC	F
XBB.1.5.2	Omicron	VOC	T
XBB.2.3.4	Omicron	VOC	T
XBB.1.5.100	Omicron	VOC	T
XBB.1.5.72	Omicron	VOC	T
FL.4	Omicron	VOC	F
FY.2	Omicron	VOC	F
B.1.177.57	None	None	F
HA.1	Omicron	VOC	F
FL.7	Omicron	VOC	F
XBB.1.5.37	Omicron	VOC	T
GB.1	Omicron	VOC	F
BQ.1.1.77	Omicron	VOC	F
BA.2.10	Omicron	VOC	F
B.1.177.45	None	None	F
XBB.1.16.9	Omicron	VOC	T
XBB.1.5.10	Omicron	VOC	T
XBB.1.5.81	Omicron	VOC	T
FL.4.9	Omicron	VOC	F
FL.4.6	Omicron	VOC	F
FL.1	Omicron	VOC	F
XBB.2.3.11	Omicron	VOC	T
XBB.1.16.2	Omicron	VOC	T
XBB.1.9.1	Omicron	VOC	T
FD.1.1	Omicron	VOC	F
FL.2	Omicron	VOC	F
XBB.1.5.25	Omicron	VOC	T
GS.1	Omicron	VOC	F
XBB.1.5.39	Omicron	VOC	T
XBL	Omicron	VOC	F
HT.2	Omicron	VOC	F
XBB.1.5.18	Omicron	VOC	T
GF.1	Omicron	VOC	F
EU.1.1	Omicron	VOC	F
GZ.1	Omicron	VOC	F
HZ.2	Omicron	VOC	F
FL.5	Omicron	VOC	F
GY.5	Omicron	VOC	F
XBB.1.5.47	Omicron	VOC	T
BQ.1.1.1	Omicron	VOC	F
XBB.1.16.5	Omicron	VOC	T
FL.2.3	Omicron	VOC	F
FL.15	Omicron	VOC	F
BF.5	Omicron	VOC	F
FE.1.1.1	Omicron	VOC	F
FL.1.5.1	Omicron	VOC	F
FD.3	Omicron	VOC	F
XBB.1.5.66	Omicron	VOC	T
BA.1.17.2	Omicron	VOC	F
FL.5.1	Omicron	VOC	F
BA.5.2.1	Omicron	VOC	F
FL.3	Omicron	VOC	F
XBB.1.5.52	Omicron	VOC	T
XBB.2.3.2	Omicron	VOC	T
BQ.1.1.7	Omicron	VOC	F
XBB.1.5.32	Omicron	VOC	T
XBB.1.5.3	Omicron	VOC	T
EK.2	Omicron	VOC	F
HF.1	Omicron	VOC	F
FL.1.1	Omicron	VOC	F
GE.1	Omicron	VOC	F
XBB.1.5.97	Omicron	VOC	T
FL.1.3	Omicron	VOC	F
FL.4.11	Omicron	VOC	F
XBB.1.5.69	Omicron	VOC	T
HH.1	Omicron	VOC	F
XBB.1.5.31	Omicron	VOC	T
XBB.1.5.4	Omicron	VOC	T
XBB.1.16.6	Omicron	VOC	T
XBB.1.5.11	Omicron	VOC	T
XBB.1.5.34	Omicron	VOC	T
XBB.1.5.40	Omicron	VOC	T
FY.5	Omicron	VOC	F
FL.10	Omicron	VOC	F
XBB.1.5.105	Omicron	VOC	T
GK.1	Omicron	VOC	F
HS.1	Omicron	VOC	F
HT.1	Omicron	VOC	F
GM.1	Omicron	VOC	F
XBB.2.3.5	Omicron	VOC	T
DU.1	Omicron	VOC	F
GY.6	Omicron	VOC	F
FL.1.4	Omicron	VOC	F
