 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
"Mississippi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"North Carolina" 0 0 0 0 0 0 0 0 21 4 0 3 2 0 0 0 0 0 1 2 0 0 0 0 0
"Oklahoma" 0 0 0 0 0 0 0 10 2 7 0 0 0 4 0 1 0 0 1 0 0 0 0 0 0
"Virginia" 0 0 0 0 0 1 0 2 5 1 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"West Virginia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Louisiana" 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 5 0 0 4 0 0 0 0 0 0
"Michigan" 0 0 0 0 0 0 0 0 1 2 0 0 1 3 0 2 0 0 2 2 0 0 0 0 0
"Massachusetts" 0 0 0 0 1 0 0 0 0 1 191 0 0 0 0 10 0 0 0 1 0 0 0 0 0
"Idaho" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Florida" 0 0 0 0 0 2 0 7 0 6 2 3 1 4 0 0 0 0 0 0 0 0 0 0 0
"Nebraska" 0 0 0 0 0 0 0 14 5 2 0 0 0 0 7 0 0 0 5 0 0 0 0 0 0
"Washington" 0 0 0 0 0 0 10 79 28 124 0 0 1 37 0 0 5 0 0 21 0 6 11 9 3
"New Mexico" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"South Dakota" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Texas" 0 0 0 0 0 1 0 2 5 8 3 3 9 4 9 3 0 0 2 5 0 0 0 0 0
"California" 0 0 0 0 0 1 1 3 5 8 2 2 1 4 1 0 0 0 0 2 0 0 0 0 0
"Alabama" 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Georgia" 0 0 0 0 0 0 0 1 9 4 0 2 4 1 0 0 0 0 0 0 0 0 0 0 0
"Pennsylvania" 0 0 0 0 0 0 0 1 3 2 0 5 0 1 0 1 0 0 0 1 0 0 0 0 0
"Missouri" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 3 0 0 0 0 0 0 0 0 0
"Colorado" 0 0 0 0 0 0 0 3 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0
"Utah" 0 0 0 0 0 2 0 0 0 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0
"Tennessee" 0 0 0 0 0 0 0 0 4 2 0 2 4 1 0 3 0 0 1 1 0 0 0 0 0
