 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
"A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.1.1" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.2" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.2.1" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"A.2.2" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.2.3" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B.1" 0 0 0 0 2 4 9 75 157 243 166 41 40 643 92 22 5 0 35 7 12 6 4 5 0
"B.1.1" 0 0 0 0 0 0 6 22 11 11 4 3 2 9 0 2 0 0 4 2 0 0 0 0 0
"B.1.10" 0 0 0 0 0 0 0 0 2 0 4 0 0 25 0 0 0 0 0 2 0 0 0 0 0
"B.1.11" 0 0 0 0 0 0 0 14 45 39 13 4 3 31 3 4 0 0 7 5 0 0 0 0 0
"B.1.12" 0 0 0 0 0 0 0 7 2 0 6 1 0 123 10 0 1 0 2 3 0 0 0 0 0
"B.1.13" 0 0 0 0 0 0 0 12 26 10 2 0 1 3 0 1 0 1 2 0 0 0 0 0 0
"B.1.14" 0 0 0 0 0 0 2 0 5 1 0 0 0 11 4 0 0 0 0 0 0 0 0 0 0
"B.1.15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B.1.16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B.1.17" 0 0 0 0 0 0 0 0 10 8 27 1 5 8 5 0 2 0 0 0 0 0 0 0 0
"B.1.18" 0 0 0 0 0 0 0 0 0 4 2 1 3 59 5 1 0 0 0 1 0 0 0 0 0
"B.1.19" 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0
"B.1.2" 0 0 0 0 0 0 0 5 55 46 52 14 26 130 27 17 5 0 23 19 4 0 0 0 0
"B.1.20" 0 0 0 0 0 0 0 0 0 0 0 2 1 4 2 1 1 5 5 16 54 14 7 4 5
"B.1.3" 0 0 0 0 0 0 0 11 18 15 33 4 2 92 13 4 0 1 5 2 1 0 0 0 0
"B.1.4" 0 0 0 0 0 0 0 3 10 10 14 3 1 10 3 0 0 0 0 1 0 0 0 0 0
"B.1.5" 0 0 0 0 0 0 0 3 1 2 1 0 1 26 0 2 0 0 0 0 0 0 0 0 0
"B.1.6" 0 0 0 0 0 0 0 0 0 0 1 0 2 4 2 3 0 0 0 0 1 0 0 0 0
"B.1.7" 0 0 0 0 0 0 0 4 14 11 27 2 3 31 7 7 1 0 3 2 0 0 0 0 0
"B.1.8" 0 0 0 0 0 0 0 6 14 14 7 2 2 35 9 4 0 0 1 0 0 0 0 0 0
"B.1.9" 0 0 0 0 0 0 0 0 0 1 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0
"C.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0
