B.1.1.7	#7FFF00
Q.1	#77F000
Q.2	#70E200
Q.3	#69D300
Q.4	#61C400
Q.5	#5AB600
Q.6	#53A800
Q.7	#4C9900
Q.8	#458B00
B.1.351	#FFD700
B.1.351.1	#E7C300
B.1.351.2	#D0AF00
B.1.351.3	#B99C00
B.1.351.4	#A28800
B.1.351.5	#8B7500
B.1.617.2	#9932CC
AY.1	#9831CB
AY.2	#9831CB
AY.3	#9831CB
AY.3.1	#9831CA
AY.3.2	#9831CA
AY.3.3	#9731CA
AY.3.4	#9731CA
AY.4	#9731C9
AY.4.1	#9731C9
AY.4.2	#9731C9
AY.4.2.1	#9631C9
AY.4.2.2	#9631C8
AY.4.2.3	#9631C8
AY.4.2.4	#9631C8
AY.4.3	#9631C8
AY.4.4	#9530C7
AY.4.5	#9530C7
AY.4.6	#9530C7
AY.4.7	#9530C6
AY.4.8	#9530C6
AY.4.9	#9430C6
AY.4.10	#9430C6
AY.4.11	#9430C5
AY.4.12	#9430C5
AY.4.13	#9430C5
AY.4.14	#9330C5
AY.4.15	#9330C4
AY.4.16	#9330C4
AY.4.17	#9330C4
AY.5	#9330C4
AY.5.1	#922FC3
AY.5.2	#922FC3
AY.5.3	#922FC3
AY.5.4	#922FC3
AY.5.5	#922FC2
AY.5.6	#912FC2
AY.5.7	#912FC2
AY.6	#912FC1
AY.7	#912FC1
AY.7.1	#912FC1
AY.7.2	#902FC1
AY.8	#902FC0
AY.9	#902FC0
AY.9.1	#902FC0
AY.9.2	#902FC0
AY.9.2.1	#8F2FBF
AY.9.2.2	#8F2EBF
AY.10	#8F2EBF
AY.11	#8F2EBF
AY.12	#8F2EBE
AY.13	#8E2EBE
AY.14	#8E2EBE
AY.15	#8E2EBD
AY.16	#8E2EBD
AY.16.1	#8E2EBD
AY.17	#8D2EBD
AY.18	#8D2EBC
AY.19	#8D2EBC
AY.20	#8D2EBC
AY.20.1	#8D2EBC
AY.21	#8C2EBB
AY.22	#8C2DBB
AY.23	#8C2DBB
AY.23.1	#8C2DBB
AY.23.2	#8C2DBA
AY.24	#8B2DBA
AY.24.1	#8B2DBA
AY.25	#8B2DBA
AY.25.1	#8B2DB9
AY.25.1.1	#8B2DB9
AY.25.1.2	#8A2DB9
AY.25.2	#8A2DB8
AY.25.3	#8A2DB8
AY.26	#8A2DB8
AY.26.1	#8A2DB8
AY.27	#892DB7
AY.28	#892CB7
AY.29	#892CB7
AY.29.1	#892CB7
AY.29.2	#892CB6
AY.30	#882CB6
AY.31	#882CB6
AY.32	#882CB6
AY.33	#882CB5
AY.33.1	#882CB5
AY.34	#872CB5
AY.34.1	#872CB5
AY.34.1.1	#872CB4
AY.34.2	#872CB4
AY.35	#872CB4
AY.36	#862CB3
AY.36.1	#862CB3
AY.37	#862BB3
AY.38	#862BB3
AY.39	#862BB2
AY.39.1	#852BB2
AY.39.1.1	#852BB2
AY.39.1.2	#852BB2
AY.39.1.3	#852BB1
AY.39.2	#852BB1
AY.39.3	#842BB1
AY.40	#842BB1
AY.41	#842BB0
AY.42	#842BB0
AY.42.1	#842BB0
AY.43	#832BAF
AY.43.1	#832BAF
AY.43.2	#832AAF
AY.43.3	#832AAF
AY.43.4	#832AAE
AY.43.5	#822AAE
AY.43.6	#822AAE
AY.43.7	#822AAE
AY.43.8	#822AAD
AY.43.9	#822AAD
AY.44	#812AAD
AY.45	#812AAD
AY.46	#812AAC
AY.46.1	#812AAC
AY.46.2	#812AAC
AY.46.3	#802AAC
AY.46.4	#802AAB
AY.46.5	#802AAB
AY.46.6	#8029AB
AY.46.6.1	#8029AA
AY.47	#7F29AA
AY.48	#7F29AA
AY.49	#7F29AA
AY.50	#7F29A9
AY.51	#7F29A9
AY.52	#7E29A9
AY.53	#7E29A9
AY.54	#7E29A8
AY.55	#7E29A8
AY.56	#7E29A8
AY.57	#7D29A8
AY.58	#7D29A7
AY.59	#7D29A7
AY.60	#7D28A7
AY.61	#7D28A7
AY.62	#7C28A6
AY.63	#7C28A6
AY.64	#7C28A6
AY.65	#7C28A5
AY.66	#7C28A5
AY.67	#7B28A5
AY.68	#7B28A5
AY.69	#7B28A4
AY.70	#7B28A4
AY.71	#7B28A4
AY.72	#7A28A4
AY.73	#7A28A3
AY.74	#7A28A3
AY.75	#7A27A3
AY.75.1	#7A27A3
AY.75.2	#7927A2
AY.75.3	#7927A2
AY.76	#7927A2
AY.77	#7927A1
AY.78	#7927A1
AY.79	#7827A1
AY.80	#7827A1
AY.81	#7827A0
AY.82	#7827A0
AY.83	#7827A0
AY.84	#7727A0
AY.85	#77279F
AY.86	#77279F
AY.87	#77279F
AY.88	#77269F
AY.89	#76269E
AY.90	#76269E
AY.91	#76269E
AY.91.1	#76269E
AY.92	#76269D
AY.93	#75269D
AY.94	#75269D
AY.95	#75269C
AY.96	#75269C
AY.97	#75269C
AY.98	#74269C
AY.98.1	#74269B
AY.99	#74269B
AY.99.1	#74269B
AY.99.2	#74259B
AY.100	#73259A
AY.101	#73259A
AY.102	#73259A
AY.102.1	#73259A
AY.102.2	#732599
AY.103	#722599
AY.103.1	#722599
AY.103.2	#722599
AY.104	#722598
AY.105	#722598
AY.106	#712598
AY.107	#712597
AY.108	#712597
AY.109	#712597
AY.110	#712497
AY.111	#702496
AY.112	#702496
AY.112.1	#702496
AY.112.2	#702496
AY.112.3	#702495
AY.113	#6F2495
AY.114	#6F2495
AY.115	#6F2495
AY.116	#6F2494
AY.116.1	#6F2494
AY.117	#6E2494
AY.118	#6E2493
AY.119	#6E2493
AY.119.1	#6E2493
AY.119.2	#6E2493
AY.120	#6D2392
AY.120.1	#6D2392
AY.120.2	#6D2392
AY.120.2.1	#6D2392
AY.121	#6D2391
AY.121.1	#6C2391
AY.122	#6C2391
AY.122.1	#6C2391
AY.122.2	#6C2390
AY.122.3	#6C2390
AY.122.4	#6B2390
AY.122.5	#6B2390
AY.122.6	#6B238F
AY.123	#6B238F
AY.123.1	#6B238F
AY.124	#6A228E
AY.124.1	#6A228E
AY.124.1.1	#6A228E
AY.125	#6A228E
AY.125.1	#6A228D
AY.126	#69228D
AY.127	#69228D
AY.127.1	#69228D
AY.127.2	#69228C
AY.127.3	#69228C
AY.128	#68228C
AY.129	#68228C
AY.130	#68228B
AY.131	#68228B
AY.132	#68228B
AY.133	#68228B
P.1	#00FFFF
P.1.1	#00F9F9
P.1.2	#00F4F4
P.1.3	#00EFEF
P.1.4	#00E9E9
P.1.5	#00E4E4
P.1.6	#00DFDF
P.1.7	#00DADA
P.1.7.1	#00D4D4
P.1.8	#00CFCF
P.1.9	#00CACA
P.1.10	#00C4C4
P.1.10.1	#00BFBF
P.1.10.2	#00BABA
P.1.11	#00B5B5
P.1.12	#00AFAF
P.1.12.1	#00AAAA
P.1.13	#00A5A5
P.1.14	#00A0A0
P.1.15	#009A9A
P.1.16	#009595
P.1.17	#009090
P.1.17.1	#008B8B
B.1.1.529	#B22222
BA.1 	#B12121
BA.1.1	#B02121
BA.1.1.1	#B02121
BA.1.1.2	#AF2121
BA.1.1.3	#AF2121
BA.1.1.4	#AE2121
BA.1.1.5	#AE2121
BA.1.1.6	#AD2121
BA.1.1.7	#AD2121
BA.1.1.8	#AC2020
BA.1.1.9	#AC2020
BA.1.1.10	#AB2020
BA.1.1.11	#AB2020
BA.1.1.12	#AA2020
BA.1.1.13	#A92020
BA.1.1.14	#A92020
BA.1.1.15	#A82020
BA.1.1.16	#A82020
BA.1.2	#A71F1F
BA.1.3	#A71F1F
BA.1.4	#A61F1F
BA.1.5	#A61F1F
BA.1.6	#A51F1F
BA.1.7	#A51F1F
BA.1.8	#A41F1F
BA.1.9	#A41F1F
BA.1.10	#A31F1F
BA.1.11	#A31E1E
BA.1.12	#A21E1E
BA.1.13	#A11E1E
BA.1.13.1	#A11E1E
BA.1.14	#A01E1E
BA.1.14.1	#A01E1E
BA.1.14.2	#9F1E1E
BA.1.15	#9F1E1E
BA.1.15.1	#9E1E1E
BA.1.15.2	#9E1D1D
BA.1.16	#9D1D1D
BA.1.16.1	#9D1D1D
BA.1.17	#9C1D1D
BA.1.17.1	#9C1D1D
BA.1.17.2	#9B1D1D
BA.1.18	#9B1D1D
BA.1.19	#9A1D1D
BA.1.20	#991D1D
BA.1.21	#991C1C
BA.1.21.1	#981C1C
BA.2	#981C1C
BA.2.1	#971C1C
BA.2.2	#971C1C
BA.2.3	#961C1C
BA.2.3.1	#961C1C
BA.2.3.2	#951C1C
BA.2.4	#951C1C
BA.2.5	#941B1B
BA.2.6	#941B1B
BA.2.7	#931B1B
BA.2.8	#931B1B
BA.2.9	#921B1B
BA.2.9.1	#911B1B
BA.2.10	#911B1B
BA.2.10.1	#901B1B
BA.2.11	#901B1B
BA.2.12	#8F1A1A
BA.2.12.1	#8F1A1A
BA.2.13	#8E1A1A
BA.3	#8E1A1A
BA.4	#8D1A1A
BA.5	#8D1A1A
