Country	Country_ISO	Region
Afghanistan	AFG	Kandahar
Afghanistan	AFG	Zabul
Afghanistan	AFG	Uruzgan
Afghanistan	AFG	Daykundi
Afghanistan	AFG	Ghanzi
Afghanistan	AFG	Paktika
Afghanistan	AFG	Khost
Afghanistan	AFG	Paktia
Afghanistan	AFG	Logar
Afghanistan	AFG	Wardak
Afghanistan	AFG	Kabul
Afghanistan	AFG	Nangarhar
Afghanistan	AFG	Laghman
Afghanistan	AFG	Kapisa
Afghanistan	AFG	Parwan
Afghanistan	AFG	Panjshir
Afghanistan	AFG	Kunar
Afghanistan	AFG	Nuristan
Afghanistan	AFG	Baghlan
Afghanistan	AFG	Bamyan
Afghanistan	AFG	Samangan
Afghanistan	AFG	Kunduz
Afghanistan	AFG	Takhar
Afghanistan	AFG	Balkh
Afghanistan	AFG	Sar-e Pol
Afghanistan	AFG	Jowzjan
Afghanistan	AFG	Faryab
Afghanistan	AFG	Badghis
Afghanistan	AFG	Ghor
Afghanistan	AFG	Herat
Afghanistan	AFG	Farah
Afghanistan	AFG	Nimruz
Afghanistan	AFG	Helmand
Afghanistan	AFG	Badakhshan
Albania	ALB	Berat
Albania	ALB	Dibër
Albania	ALB	Durrës
Albania	ALB	Elbasan
Albania	ALB	Fier
Albania	ALB	Gjirokastër
Albania	ALB	Korçë
Albania	ALB	Kukës
Albania	ALB	Lezhë
Albania	ALB	Shkodër
Albania	ALB	Tiranë
Albania	ALB	Vlorë
Algeria	DZA	Tiaret
Algeria	DZA	Ouargla
Algeria	DZA	Saïda
Algeria	DZA	Aïn Defla
Algeria	DZA	Adrar
Algeria	DZA	Aïn Témouchent
Algeria	DZA	Béchar
Algeria	DZA	Biskra
Algeria	DZA	Bordj Bou Arreridj<U+200E>
Algeria	DZA	Chlef
Algeria	DZA	Constantine
Algeria	DZA	El Tarf
Algeria	DZA	Ghardaia
Algeria	DZA	Tindouf
Algeria	DZA	Skikda
Algeria	DZA	Tipaza
Algeria	DZA	Tissemsilt
Algeria	DZA	Tlemcen
Algeria	DZA	Sidi Bel Abbès
Algeria	DZA	Sétif
Algeria	DZA	Relizane
Algeria	DZA	Oum El Bouaghi
Algeria	DZA	Naâma
Algeria	DZA	M'Sila
Algeria	DZA	Mila
Algeria	DZA	Illizi
Algeria	DZA	Guelma
Algeria	DZA	Djelfa
Algeria	DZA	El Oued
Algeria	DZA	Batna
Algeria	DZA	Algiers
Algeria	DZA	Laghouat
Algeria	DZA	Jijel
Algeria	DZA	Mascara
Algeria	DZA	Médéa
Algeria	DZA	Mostaganem
Algeria	DZA	Tébessa
Algeria	DZA	Boumerdès
Algeria	DZA	Blida
Algeria	DZA	Bejaia
Algeria	DZA	Tamanrasset
Algeria	DZA	Khenchela
Algeria	DZA	Oran
Algeria	DZA	Bouira
Algeria	DZA	El Bayadh
Algeria	DZA	Annaba
Algeria	DZA	Souk Ahras
Algeria	DZA	Tizi Ouzou
Andorra	AND	Sant Julia de Loria
Andorra	AND	Canillo
Andorra	AND	Ordino
Andorra	AND	La Massana
Andorra	AND	Encamp
Andorra	AND	Escaldes-Engordany
Andorra	AND	Andorra la Vella
Angola	AGO	Bengo
Angola	AGO	Benguela
Angola	AGO	Bié
Angola	AGO	Cabinda
Angola	AGO	Cunene
Angola	AGO	Huambo
Angola	AGO	Huíla
Angola	AGO	Cuando Cubango
Angola	AGO	Cuanza Norte
Angola	AGO	Cuanza Sul
Angola	AGO	Luanda
Angola	AGO	Lunda Norte
Angola	AGO	Lunda Sul
Angola	AGO	Malanje
Angola	AGO	Moxico
Angola	AGO	Namibe
Angola	AGO	Uíge
Angola	AGO	Zaire
Antigua & Barbuda	ATG	Redonda
Antigua & Barbuda	ATG	Saint Philip
Antigua & Barbuda	ATG	Saint John
Antigua & Barbuda	ATG	Barbuda
Antigua & Barbuda	ATG	Saint Mary
Antigua & Barbuda	ATG	Saint Paul
Antigua & Barbuda	ATG	Saint Peter
Antigua & Barbuda	ATG	Saint George
Argentina	ARG	Buenos Aires
Argentina	ARG	Catamarca
Argentina	ARG	Chaco
Argentina	ARG	Chubut
Argentina	ARG	Ciudad Autónoma de Buenos Aires
Argentina	ARG	Córdoba
Argentina	ARG	Corrientes
Argentina	ARG	Formosa
Argentina	ARG	Jujuy
Argentina	ARG	La Pampa
Argentina	ARG	La Roja
Argentina	ARG	Mendoza
Argentina	ARG	Misiones
Argentina	ARG	Neuquén
Argentina	ARG	Río Negro
Argentina	ARG	Salta
Argentina	ARG	San Juan
Argentina	ARG	San Luis
Argentina	ARG	Santa Cruz
Argentina	ARG	Santa Fe
Argentina	ARG	Santiago del Estero
Argentina	ARG	Tierra del Fuego
Argentina	ARG	Tucumán
Armenia	ARM	Gegharkunik
Armenia	ARM	Syunik
Armenia	ARM	Tavush
Armenia	ARM	Shirak
Armenia	ARM	Lori
Armenia	ARM	Kotayk
Armenia	ARM	Vayots Dzor
Armenia	ARM	Armavir
Armenia	ARM	Aragatsotn
Armenia	ARM	Yerevan
Armenia	ARM	Ararat
Australia	AUS	New South Wales
Australia	AUS	Victoria
Australia	AUS	Queensland
Australia	AUS	South Australia
Australia	AUS	Western Australia
Australia	AUS	Tasmania
Australia	AUS	Northern Territory
Australia	AUS	Australian Capital Territory
Australia	AUS	Other Territories
Austria	AUT	Burgenland
Austria	AUT	Kärnten
Austria	AUT	Niederösterreich
Austria	AUT	Oberösterreich
Austria	AUT	Salzburg
Austria	AUT	Steiermark
Austria	AUT	Tirol
Austria	AUT	Vorarlberg
Austria	AUT	Wien
Azerbaijan	AZE	Nakhchivan Autonomous Republic
Azerbaijan	AZE	Contiguous Azerbaijan
Bahamas, The	BHS	Acklins
Bahamas, The	BHS	Biminis
Bahamas, The	BHS	Berry Islands
Bahamas, The	BHS	Black Point
Bahamas, The	BHS	Cat Island
Bahamas, The	BHS	Central Abaco
Bahamas, The	BHS	Central Andros
Bahamas, The	BHS	Central Eleuthera
Bahamas, The	BHS	City of Freeport
Bahamas, The	BHS	Crooked Island
Bahamas, The	BHS	East Grand Bahama
Bahamas, The	BHS	Exuma
Bahamas, The	BHS	Grand Cay
Bahamas, The	BHS	Harbour Island
Bahamas, The	BHS	Hope Town
Bahamas, The	BHS	Inagua
Bahamas, The	BHS	Long Island
Bahamas, The	BHS	Mangrove Cay
Bahamas, The	BHS	Mayaguana
Bahamas, The	BHS	Moore's Island
Bahamas, The	BHS	New Providence
Bahamas, The	BHS	North Abaco
Bahamas, The	BHS	North Andros
Bahamas, The	BHS	North Eleuthera
Bahamas, The	BHS	Ragged Island
Bahamas, The	BHS	Rum Cay
Bahamas, The	BHS	San Salvador
Bahamas, The	BHS	South Abaco
Bahamas, The	BHS	South Andros
Bahamas, The	BHS	South Eleuthera
Bahamas, The	BHS	Spanish Wells
Bahamas, The	BHS	West Grand Bahama
Bahrain	BHR	Northern Governorate
Bahrain	BHR	Southern Governorate
Bahrain	BHR	Capital Governorate
Bahrain	BHR	Muharraq Governorate
Bangladesh	BGD	Chittagong
Bangladesh	BGD	Dhaka
Bangladesh	BGD	Mymensingh
Bangladesh	BGD	Rajshani
Bangladesh	BGD	Rangpur
Bangladesh	BGD	Sylhet
Bangladesh	BGD	Khulna
Bangladesh	BGD	Barisal
Barbados	BRB	Saint George
Barbados	BRB	Saint Lucy
Barbados	BRB	Saint Andrew
Barbados	BRB	Saint Peter
Barbados	BRB	Saint James
Barbados	BRB	Saint Thomas
Barbados	BRB	Saint Joseph
Barbados	BRB	Christ Church
Barbados	BRB	Saint Michael
Barbados	BRB	Saint Philip
Barbados	BRB	Saint John
Belarus	BLR	Gomel
Belarus	BLR	Vitebsk
Belarus	BLR	Grodno
Belarus	BLR	Brest
Belarus	BLR	Mogilev
Belarus	BLR	Minsk
Belarus	BLR	Minsk City
Belgium	BEL	Brussels Hoofdstedelijk
Belgium	BEL	Vlaams Gewest
Belgium	BEL	Wallonne Gewest
Belize	BLZ	Orange Walk
Belize	BLZ	Corozal
Belize	BLZ	Belize
Belize	BLZ	Cayo
Belize	BLZ	Stann Creek
Belize	BLZ	Toledo
Benin	BEN	Borgou
Benin	BEN	Alibori
Benin	BEN	Atakora
Benin	BEN	Donga
Benin	BEN	Collines
Benin	BEN	Plateau
Benin	BEN	Zou
Benin	BEN	Littoral
Benin	BEN	Kouffo
Benin	BEN	Oueme
Benin	BEN	Atlanique
Benin	BEN	Mono
Bhutan	BTN	Trashigang
Bhutan	BTN	Trashiyangtse
Bhutan	BTN	Mongar
Bhutan	BTN	Lhuntse
Bhutan	BTN	Bumthang
Bhutan	BTN	Sarpang
Bhutan	BTN	Trongsa
Bhutan	BTN	Tsirang
Bhutan	BTN	Dagana
Bhutan	BTN	Wangdue Phodrang
Bhutan	BTN	Punakha
Bhutan	BTN	Thimpu
Bhutan	BTN	Gasa
Bhutan	BTN	Chukha
Bhutan	BTN	Samtse
Bhutan	BTN	Haa
Bhutan	BTN	Paro
Bhutan	BTN	Pemagatshel
Bhutan	BTN	Samdrup Jongkhar
Bhutan	BTN	Zhemgang
Bolivia	BOL	Beni
Bolivia	BOL	Chuquisaca
Bolivia	BOL	Cochabamba
Bolivia	BOL	La Paz
Bolivia	BOL	Oruro
Bolivia	BOL	Pando
Bolivia	BOL	Potosí
Bolivia	BOL	Santa Cruz
Bolivia	BOL	Tarija
Bosnia & Herzegovina	BIH	Brcko district of Bosnia and Herzegowina
Bosnia & Herzegovina	BIH	Entity Federation of Bosnia and Herzegovina
Bosnia & Herzegovina	BIH	Republika Srpska
Botswana	BWA	South-East District
Botswana	BWA	Kgatleng District
Botswana	BWA	North-East District
Botswana	BWA	Central District
Botswana	BWA	Ghanzi District
Botswana	BWA	Kweneng District
Botswana	BWA	Southern District
Botswana	BWA	Kgalagadi District
Botswana	BWA	North-West District
Botswana	BWA	Chobe District
Brazil	BRA	Roraima
Brazil	BRA	Amapa
Brazil	BRA	Amazonas
Brazil	BRA	Para
Brazil	BRA	Maranhao
Brazil	BRA	Ceara
Brazil	BRA	Rio Granda do Norte
Brazil	BRA	Paraiba
Brazil	BRA	Piaui
Brazil	BRA	Pernambuco
Brazil	BRA	Alagoas
Brazil	BRA	Acre
Brazil	BRA	Rondonia
Brazil	BRA	Sergipe
Brazil	BRA	Tocantins
Brazil	BRA	Bahia
Brazil	BRA	Mato Grosso
