Country	Country_ISO	Region
Afghanistan	AFG	Ghor
Afghanistan	AFG	Hilmand
Afghanistan	AFG	Uruzgan
Afghanistan	AFG	Nimroz
Afghanistan	AFG	Baghlan
Afghanistan	AFG	Ghazni
Afghanistan	AFG	Kunar
Afghanistan	AFG	Zabul
Afghanistan	AFG	Badakhshan
Afghanistan	AFG	Khost
Afghanistan	AFG	Kabul
Afghanistan	AFG	Faryab
Afghanistan	AFG	Parwan
Afghanistan	AFG	Hirat
Afghanistan	AFG	Logar
Afghanistan	AFG	Takhar
Afghanistan	AFG	Laghman
Afghanistan	AFG	Balkh
Afghanistan	AFG	Sar-e-Pul
Afghanistan	AFG	Daykundi
Afghanistan	AFG	Kandahar
Afghanistan	AFG	Panjsher
Afghanistan	AFG	Bamyan
Afghanistan	AFG	Paktya
Afghanistan	AFG	Nuristan
Afghanistan	AFG	Paktika
Afghanistan	AFG	Jawzjan
Afghanistan	AFG	Kapisa
Afghanistan	AFG	Badghis
Afghanistan	AFG	Wardak
Afghanistan	AFG	Farah
Afghanistan	AFG	Nangarhar
Afghanistan	AFG	Kunduz
Afghanistan	AFG	Samangan
Albania	ALB	Shkoder
Albania	ALB	Lezhe
Albania	ALB	Diber
Albania	ALB	Durres
Albania	ALB	Tirana
Albania	ALB	Elbasan
Albania	ALB	Fier
Albania	ALB	Berat
Albania	ALB	Korce
Albania	ALB	Gjirokaster
Albania	ALB	Vlore
Albania	ALB	Kukes
Algeria	DZA	Tiaret
Algeria	DZA	Ouargla
Algeria	DZA	Saida
Algeria	DZA	Ain Defla
Algeria	DZA	Adrar
Algeria	DZA	Ain Temouchent
Algeria	DZA	Bechar
Algeria	DZA	Biskra
Algeria	DZA	Bordj Bou Arreridj
Algeria	DZA	Chlef
Algeria	DZA	Constantine
Algeria	DZA	El Tarf
Algeria	DZA	Ghardaia
Algeria	DZA	Tindouf
Algeria	DZA	Skikda
Algeria	DZA	Tipaza
Algeria	DZA	Tissemsilt
Algeria	DZA	Tlemcen
Algeria	DZA	Sidi Bel Abbes
Algeria	DZA	Setif
Algeria	DZA	Relizane
Algeria	DZA	Oum El Bouaghi
Algeria	DZA	Naama
Algeria	DZA	M'Sila
Algeria	DZA	Mila
Algeria	DZA	Illizi
Algeria	DZA	Guelma
Algeria	DZA	Djelfa
Algeria	DZA	El Oued
Algeria	DZA	Batna
Algeria	DZA	Algiers
Algeria	DZA	Laghouat
Algeria	DZA	Jijel
Algeria	DZA	Mascara
Algeria	DZA	Medea
Algeria	DZA	Mostaganem
Algeria	DZA	Tebessa
Algeria	DZA	Boumerdes
Algeria	DZA	Blida
Algeria	DZA	Bejaia
Algeria	DZA	Tamanrasset
Algeria	DZA	Khenchela
Algeria	DZA	Oran
Algeria	DZA	Bouira
Algeria	DZA	El Bayadh
Algeria	DZA	Annaba
Algeria	DZA	Souk Ahras
Algeria	DZA	Tizi Ouzou
Andorra	AND	Andorra la Vella
Andorra	AND	Canillo
Andorra	AND	Encamp
Andorra	AND	Escaldes-Engordany
Andorra	AND	La Massana
Andorra	AND	Ordino
Andorra	AND	Sant Julia de Loria
Angola	AGO	Cunene
Angola	AGO	Cabinda
Angola	AGO	Zaire
Angola	AGO	Uige
Angola	AGO	Malanje
Angola	AGO	Cuando Cubango
Angola	AGO	Bengo
Angola	AGO	Benguela
Angola	AGO	Bie
Angola	AGO	Cuanza Norte
Angola	AGO	Cuanza Sul
Angola	AGO	Huambo
Angola	AGO	Huila
Angola	AGO	Luanda
Angola	AGO	Lunda Norte
Angola	AGO	Lunda Sul
Angola	AGO	Moxico
Angola	AGO	Namibe
Antigua and Barbuda	ATG	Barbuda
Antigua and Barbuda	ATG	Saint George
Antigua and Barbuda	ATG	Saint John
Antigua and Barbuda	ATG	Saint Mary
Antigua and Barbuda	ATG	Saint Philip
Antigua and Barbuda	ATG	Saint Paul
Antigua and Barbuda	ATG	Saint Peter
Antigua and Barbuda	ATG	Redonda
Argentina	ARG	San Luis
Argentina	ARG	Santiago del Estero
Argentina	ARG	Santa Cruz
Argentina	ARG	Rio Negro
Argentina	ARG	Corrientes
Argentina	ARG	Jujuy
Argentina	ARG	La Pampa
Argentina	ARG	Misiones
Argentina	ARG	Santa Fe
Argentina	ARG	Catamarca
Argentina	ARG	Chaco
Argentina	ARG	Chubut
Argentina	ARG	Buenos Aires
Argentina	ARG	Tierra del Fuego
Argentina	ARG	Tucuman
Argentina	ARG	La Rioja
Argentina	ARG	Cordoba
Argentina	ARG	Neuquen
Argentina	ARG	Formosa
Argentina	ARG	Mendoza
Argentina	ARG	San Juan
Argentina	ARG	Entre Rios
Argentina	ARG	Autonomous City of Buenos Aires
Argentina	ARG	Salta
Armenia	ARM	Syunik
Armenia	ARM	Vayoc Jor
Armenia	ARM	Ararat
Armenia	ARM	Armavir
Armenia	ARM	Gegharkunik
Armenia	ARM	Yerevan
Armenia	ARM	Aragatsotn
Armenia	ARM	Kotayk
Armenia	ARM	Shirak
Armenia	ARM	Tavush
Armenia	ARM	Lori
Australia	AUS	External Territories
Australia	AUS	Australian Capital Territory
Australia	AUS	New South Wales
Australia	AUS	Northern Territory
Australia	AUS	Queensland
Australia	AUS	South Australia
Australia	AUS	Tasmania
Australia	AUS	Victoria
Australia	AUS	Western Australia
Austria	AUT	Burgenland
Austria	AUT	Karnten
Austria	AUT	Niederosterreich
Austria	AUT	Oberosterreich
Austria	AUT	Salzburg
Austria	AUT	Steiermark
Austria	AUT	Tirol
Austria	AUT	Vorarlberg
Austria	AUT	Wien
Azerbaijan	AZE	Xankendi
Azerbaijan	AZE	Sahbuz
Azerbaijan	AZE	Naxcivan
Azerbaijan	AZE	Abseron
Azerbaijan	AZE	Astara
Azerbaijan	AZE	Agcabedi
Azerbaijan	AZE	Agdas
Azerbaijan	AZE	Agstafa
Azerbaijan	AZE	Agsu
Azerbaijan	AZE	Baki
Azerbaijan	AZE	Balaken
Azerbaijan	AZE	Beyleqan
Azerbaijan	AZE	Bilesuvar
Azerbaijan	AZE	Berde
Azerbaijan	AZE	Celilabad
Azerbaijan	AZE	Goycay
Azerbaijan	AZE	Gedebey
Azerbaijan	AZE	Gence
Azerbaijan	AZE	Haciqabul
Azerbaijan	AZE	Kurdemir
Azerbaijan	AZE	Lerik
Azerbaijan	AZE	Masalli
Azerbaijan	AZE	Oguz
Azerbaijan	AZE	Qax
Azerbaijan	AZE	Qobustan
Azerbaijan	AZE	Quba
Azerbaijan	AZE	Qusar
Azerbaijan	AZE	Qebele
Azerbaijan	AZE	Saatli
Azerbaijan	AZE	Sabirabad
Azerbaijan	AZE	Salyan
Azerbaijan	AZE	Samux
Azerbaijan	AZE	Siyezen
Azerbaijan	AZE	Sumqayit
Azerbaijan	AZE	Tovuz
Azerbaijan	AZE	Ucar
Azerbaijan	AZE	Xacmaz
Azerbaijan	AZE	Xizi
Azerbaijan	AZE	Yardimli
Azerbaijan	AZE	Yevlax
Azerbaijan	AZE	Zaqatala
Azerbaijan	AZE	Zerdab
Azerbaijan	AZE	Imisli
Azerbaijan	AZE	Ismayilli
Azerbaijan	AZE	Sabran
Azerbaijan	AZE	Samaxi
Azerbaijan	AZE	Sirvan
Azerbaijan	AZE	Semkir
Azerbaijan	AZE	Lenkeran
Azerbaijan	AZE	Neftcala
Azerbaijan	AZE	Babek
Azerbaijan	AZE	Culfa
Azerbaijan	AZE	Serur
Azerbaijan	AZE	Ordubad
Azerbaijan	AZE	Sederek
Azerbaijan	AZE	Kengerli
Azerbaijan	AZE	Agdam
Azerbaijan	AZE	Goranboy
Azerbaijan	AZE	Goygol
Azerbaijan	AZE	Daskesen
Azerbaijan	AZE	Terter
Azerbaijan	AZE	Fuzuli
Azerbaijan	AZE	Xocavend
Azerbaijan	AZE	Xocali
Azerbaijan	AZE	Cebrayil
Azerbaijan	AZE	Lacin
Azerbaijan	AZE	Martakert
Azerbaijan	AZE	Xocavend
Azerbaijan	AZE	Kelbecer
Azerbaijan	AZE	Susa
Azerbaijan	AZE	Mingecevir
Azerbaijan	AZE	Naftalan
Azerbaijan	AZE	Lenkeran
Azerbaijan	AZE	Yevlax
Azerbaijan	AZE	Seki
Azerbaijan	AZE	Seki
Azerbaijan	AZE	Qazax
Azerbaijan	AZE	Naxcivan
Bahamas	BHS	Acklins
Bahamas	BHS	Inagua
Bahamas	BHS	Mayaguana
Bahamas	BHS	Crooked Island and Long Cay
Bahamas	BHS	Berry Islands
Bahamas	BHS	Bimini
Bahamas	BHS	Black Point
Bahamas	BHS	Cat Island
Bahamas	BHS	Central Abaco
Bahamas	BHS	Central Andros
Bahamas	BHS	Central Eleuthera
Bahamas	BHS	East Grand Bahama
Bahamas	BHS	Exuma
Bahamas	BHS	City of Freeport
Bahamas	BHS	Grand Cay
Bahamas	BHS	Harbour Island
Bahamas	BHS	Hope Town
Bahamas	BHS	Long Island
Bahamas	BHS	Mangrove Cay
Bahamas	BHS	Moore's Island
Bahamas	BHS	North Abaco
Bahamas	BHS	North Andros
Bahamas	BHS	North Eleuthera
Bahamas	BHS	Ragged Island
Bahamas	BHS	Rum Cay
Bahamas	BHS	San Salvador
Bahamas	BHS	South Abaco
Bahamas	BHS	South Eleuthera
Bahamas	BHS	Spanish Wells
