 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
"A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.1.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.2.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.2.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.2.3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"A.3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B.1" 0 0 0 0 1 36 32 62 46 83 41 0 30 17 13 52 0 0 0 82 0 0 13 0 23
"B.1.1" 0 0 0 0 1 35 17 17 22 29 10 0 11 0 8 11 0 0 0 37 0 0 0 0 0
"B.1.10" 0 0 0 0 0 0 0 1 2 2 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"B.1.11" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B.1.12" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"B.1.13" 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
"B.1.14" 0 0 0 0 0 3 3 1 6 2 5 0 2 0 2 0 0 0 0 3 0 0 0 0 0
"B.1.15" 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B.1.16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B.1.17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B.1.18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B.1.19" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"B.1.2" 0 0 0 0 0 10 14 12 8 13 8 0 2 1 0 15 0 0 0 17 0 0 0 1 0
"B.1.20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 10
"B.1.3" 0 0 0 0 0 5 0 4 4 3 1 0 3 2 1 2 0 0 0 8 0 0 0 0 0
"B.1.4" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B.1.5" 0 0 0 0 1 5 5 1 5 5 0 0 9 0 4 5 0 0 0 10 0 0 0 0 0
"B.1.6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"B.1.7" 0 0 0 0 0 4 5 7 7 5 1 0 2 1 2 8 0 0 0 9 0 0 0 0 0
"B.1.8" 0 0 0 0 0 0 8 8 3 6 5 0 6 1 0 7 0 0 0 6 0 0 0 0 0
"B.1.9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C.1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 6 1 5
