Country_REF	Country_ISO	Country_ALT	Region_REF	Region_ALT
Afghanistan	AFG	Afghanistan	Kandahar	Kandahar
Afghanistan	AFG	Afghanistan	Zabul	NA
Afghanistan	AFG	Afghanistan	Uruzgan	NA
Afghanistan	AFG	Afghanistan	Daykundi	NA
Afghanistan	AFG	Afghanistan	Ghanzi	NA
Afghanistan	AFG	Afghanistan	Paktika	NA
Afghanistan	AFG	Afghanistan	Khost	NA
Afghanistan	AFG	Afghanistan	Paktia	NA
Afghanistan	AFG	Afghanistan	Logar	NA
Afghanistan	AFG	Afghanistan	Wardak	NA
Afghanistan	AFG	Afghanistan	Kabul	Kabul
Afghanistan	AFG	Afghanistan	Nangarhar	Nangarhar
Afghanistan	AFG	Afghanistan	Laghman	NA
Afghanistan	AFG	Afghanistan	Kapisa	NA
Afghanistan	AFG	Afghanistan	Parwan	NA
Afghanistan	AFG	Afghanistan	Panjshir	NA
Afghanistan	AFG	Afghanistan	Kunar	NA
Afghanistan	AFG	Afghanistan	Nuristan	NA
Afghanistan	AFG	Afghanistan	Baghlan	NA
Afghanistan	AFG	Afghanistan	Bamyan	NA
Afghanistan	AFG	Afghanistan	Samangan	NA
Afghanistan	AFG	Afghanistan	Kunduz	NA
Afghanistan	AFG	Afghanistan	Takhar	NA
Afghanistan	AFG	Afghanistan	Balkh	NA
Afghanistan	AFG	Afghanistan	Sar-e Pol	NA
Afghanistan	AFG	Afghanistan	Jowzjan	NA
Afghanistan	AFG	Afghanistan	Faryab	NA
Afghanistan	AFG	Afghanistan	Badghis	NA
Afghanistan	AFG	Afghanistan	Ghor	NA
Afghanistan	AFG	Afghanistan	Herat	NA
Afghanistan	AFG	Afghanistan	Farah	NA
Afghanistan	AFG	Afghanistan	Nimruz	NA
Afghanistan	AFG	Afghanistan	Helmand	NA
Afghanistan	AFG	Afghanistan	Badakhshan	NA
Algeria	DZA	Algeria	Tiaret	Tiaret
Algeria	DZA	Algeria	Ouargla	Ouargla
Algeria	DZA	Algeria	Saïda	NA
Algeria	DZA	Algeria	Aïn Defla	NA
Algeria	DZA	Algeria	Adrar	Adrar
Algeria	DZA	Algeria	Aïn Témouchent	NA
Algeria	DZA	Algeria	Béchar	NA
Algeria	DZA	Algeria	Biskra	Biskra,BISKRA
Algeria	DZA	Algeria	Bordj Bou Arreridj<U+200E>	NA
Algeria	DZA	Algeria	Chlef	NA
Algeria	DZA	Algeria	Constantine	Constantine
Algeria	DZA	Algeria	El Tarf	El Tarf,El Taref
Algeria	DZA	Algeria	Ghardaia	NA
Algeria	DZA	Algeria	Tindouf	Tindouf
Algeria	DZA	Algeria	Skikda	NA
Algeria	DZA	Algeria	Tipaza	Tipaza
Algeria	DZA	Algeria	Tissemsilt	Tissemsilt
Algeria	DZA	Algeria	Tlemcen	Tlemcen
Algeria	DZA	Algeria	Sidi Bel Abbès	Aidi Bel Abbes,Sidi Bel Abbes
Algeria	DZA	Algeria	Sétif	Sétif,Setif
Algeria	DZA	Algeria	Relizane	NA
Algeria	DZA	Algeria	Oum El Bouaghi	NA
Algeria	DZA	Algeria	Naâma	NA
Algeria	DZA	Algeria	M'Sila	M'SILA,Msila,M'Sila,M'sila
Algeria	DZA	Algeria	Mila	NA
Algeria	DZA	Algeria	Illizi	NA
Algeria	DZA	Algeria	Guelma	NA
Algeria	DZA	Algeria	Djelfa	Djelfa
Algeria	DZA	Algeria	El Oued	El Oued
Algeria	DZA	Algeria	Batna	Batna
Algeria	DZA	Algeria	Algiers	Alger,Algiers
Algeria	DZA	Algeria	Laghouat	Laghouat
Algeria	DZA	Algeria	Jijel	NA
Algeria	DZA	Algeria	Mascara	Mascara
Algeria	DZA	Algeria	Médéa	NA
Algeria	DZA	Algeria	Mostaganem	NA
Algeria	DZA	Algeria	Tébessa	Tebessa,TEBESSA
Algeria	DZA	Algeria	Boumerdès	NA
Algeria	DZA	Algeria	Blida	Blida
Algeria	DZA	Algeria	Bejaia	Bejaia
Algeria	DZA	Algeria	Tamanrasset	NA
Algeria	DZA	Algeria	Khenchela	NA
Algeria	DZA	Algeria	Oran	Oran
Algeria	DZA	Algeria	Bouira	Bouira
Algeria	DZA	Algeria	El Bayadh	NA
Algeria	DZA	Algeria	Annaba	Annaba
Algeria	DZA	Algeria	Souk Ahras	NA
Algeria	DZA	Algeria	Tizi Ouzou	Tizi-Ouzou
Andorra	AND	Andorra	Sant Julia de Loria	NA
Andorra	AND	Andorra	Canillo	NA
Andorra	AND	Andorra	Ordino	NA
Andorra	AND	Andorra	La Massana	NA
Andorra	AND	Andorra	Encamp	NA
Andorra	AND	Andorra	Escaldes-Engordany	NA
Andorra	AND	Andorra	Andorra la Vella	NA
Argentina	ARG	Argentina	Buenos Aires	Buenos Aires
Argentina	ARG	Argentina	Catamarca	Catamarca
Argentina	ARG	Argentina	Chaco	Chaco
Argentina	ARG	Argentina	Chubut	Chubut
Argentina	ARG	Argentina	Ciudad Autónoma de Buenos Aires	Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires
Argentina	ARG	Argentina	Córdoba	Cordoba,Córdoba
Argentina	ARG	Argentina	Corrientes	Corrientes
Argentina	ARG	Argentina	Formosa	Formosa
Argentina	ARG	Argentina	Jujuy	Jujuy
Argentina	ARG	Argentina	La Pampa	La Pampa,La Plata
Argentina	ARG	Argentina	La Roja	La Rioja
Argentina	ARG	Argentina	Mendoza	Mendoza
Argentina	ARG	Argentina	Misiones	Misiones
Argentina	ARG	Argentina	Neuquén	Neuquen,Neuquén
Argentina	ARG	Argentina	Río Negro	Rio Negro,Río Negro
Argentina	ARG	Argentina	Salta	Salta
Argentina	ARG	Argentina	San Juan	San Juan
Argentina	ARG	Argentina	San Luis	San Luis
Argentina	ARG	Argentina	Santa Cruz	Santa Cruz
Argentina	ARG	Argentina	Santa Fe	Santa Fe
Argentina	ARG	Argentina	Santiago del Estero	Santiago del Estero
Argentina	ARG	Argentina	Tierra del Fuego	Tierra del Fuego
Argentina	ARG	Argentina	Tucumán	Tucuman,Tucumán
Armenia	ARM	Armenia	Gegharkunik	NA
Armenia	ARM	Armenia	Syunik	NA
Armenia	ARM	Armenia	Tavush	NA
Armenia	ARM	Armenia	Shirak	NA
Armenia	ARM	Armenia	Lori	NA
Armenia	ARM	Armenia	Kotayk	NA
Armenia	ARM	Armenia	Vayots Dzor	NA
Armenia	ARM	Armenia	Armavir	NA
Armenia	ARM	Armenia	Aragatsotn	NA
Armenia	ARM	Armenia	Yerevan	NA
Armenia	ARM	Armenia	Ararat	NA
Australia	AUS	Australia	New South Wales	New South Wales
Australia	AUS	Australia	Victoria	Victoria
Australia	AUS	Australia	Queensland	Queensland
Australia	AUS	Australia	South Australia	South Australia
Australia	AUS	Australia	Western Australia	Western Australia
Australia	AUS	Australia	Tasmania	Tasmania
Australia	AUS	Australia	Northern Territory	Northern Territory
Australia	AUS	Australia	Australian Capital Territory	Australian Capital Territory
Australia	AUS	Australia	Other Territories	NA
Austria	AUT	Austria	Burgenland	Burgenland,St.Margarethen
Austria	AUT	Austria	Kärnten	Carinthia,Carinthis,Patergassen,Kaernten,Klagenfurt,Launsdorf
Austria	AUT	Austria	Niederösterreich	Lower Austria,Oed,Pögstall,Waidhofen,Oberndorf,St.Valentin,Grunddorf
Austria	AUT	Austria	Oberösterreich	Upper Austria,Lenzing,St. Wolfgang,Linz,Hochficht,Losenstein,Schlatt,Roitham,Ried im Innkreis,Kirchham bei Vorchdorf,Traunkirchen,Attnang-Puchheim,Vorchdorf,Gmunden,Nussdorf am Attersee,Pinsdorf,Laakirchen,Seewalchen am Attersee,PUCHKIRCHEN,Timelkam,Bad Ischl,Scharnstein,Pilsbach,Voecklabruck,Pettenbach,Aurach am Hongar,Ebensee,Gosau,Altmuenster,Schwanenstadt,Bad Goisern,Regau,Manning,Frankenburg am Hausruck,Altenhof am Hausruck,Oberoesterreich,St.Georgen im Attergau,St. Georgen im Attergau,Vöcklabruck,Oberweis,Altmünster,Ampflwang im Hausruckwald,Pöndorf,Oberwang,Fornach,Mondsee,Grünau im Almtal,Vocklabruck,Schorfling Am Attersee,Gschwandt bei Gmunden,Weyregg am Attersee,Gampern,Neukirchen,Unterach am Attersee,Strass im Attergau,Rüstorf,St.Konrad,Vöcklamarkt,St.Lorenz,Engerwitzdorf,Aigen-Voglhub,Frankenmarkt,Schoerfling am Attersee,Pfaffing,Steinerkirchen,Voecklamarkt,Gruenau im Almtal,Ebensee am Traunsee,Attersee,Zell am Moos,Ohlsdorf
Austria	AUT	Austria	Salzburg	Salzburg,Bad Gastein,Salzburg-Gnigl,Seekirchen
Austria	AUT	Austria	Steiermark	Styria,Stadt-Predlitz,Steiermark,Gams,Graz,Seiersberg,Bad Aussee
Austria	AUT	Austria	Tirol	Tyrol,Tirol,Ischgl,St. Anton,Pettneu am Arlberg,Tösens,Galtür,Sölden,See,Kappl,Kufstein,Innsbruck,Mayrhofen,Sistrans,Kematen In Tirol,Seefeld in Tirol,Zams,Steinach am Brenner,Aldrans,Elbigenalp,Laengenfeld,Ramsau im Zillertal,East Tyrol,Thaur,Pfunden,Nauders,Heinfeld,Matrei am Brenner,Strass im Zillertal
Austria	AUT	Austria	Vorarlberg	Vorarlberg,Voralberg
Austria	AUT	Austria	Wien	Vienna,Nis,Austria,Ziar nad Hronom,Wien,Rudolfsheim Funfhaus,Chalupki
Azerbaijan	AZE	Azerbaijan	Nakhchivan Autonomous Republic	NA
Azerbaijan	AZE	Azerbaijan	Contiguous Azerbaijan	NA
The Bahamas	BHS	The Bahamas	Acklins	NA
The Bahamas	BHS	The Bahamas	Biminis	NA
The Bahamas	BHS	The Bahamas	Berry Islands	NA
The Bahamas	BHS	The Bahamas	Black Point	NA
The Bahamas	BHS	The Bahamas	Cat Island	NA
The Bahamas	BHS	The Bahamas	Central Abaco	NA
The Bahamas	BHS	The Bahamas	Central Andros	NA
The Bahamas	BHS	The Bahamas	Central Eleuthera	NA
The Bahamas	BHS	The Bahamas	City of Freeport	NA
The Bahamas	BHS	The Bahamas	Crooked Island	NA
The Bahamas	BHS	The Bahamas	East Grand Bahama	NA
The Bahamas	BHS	The Bahamas	Exuma	NA
The Bahamas	BHS	The Bahamas	Grand Cay	NA
The Bahamas	BHS	The Bahamas	Harbour Island	NA
The Bahamas	BHS	The Bahamas	Hope Town	NA
The Bahamas	BHS	The Bahamas	Inagua	NA
The Bahamas	BHS	The Bahamas	Long Island	NA
The Bahamas	BHS	The Bahamas	Mangrove Cay	NA
The Bahamas	BHS	The Bahamas	Mayaguana	NA
The Bahamas	BHS	The Bahamas	Moore's Island	NA
The Bahamas	BHS	The Bahamas	New Providence	NA
The Bahamas	BHS	The Bahamas	North Abaco	NA
The Bahamas	BHS	The Bahamas	North Andros	NA
The Bahamas	BHS	The Bahamas	North Eleuthera	NA
The Bahamas	BHS	The Bahamas	Ragged Island	NA
The Bahamas	BHS	The Bahamas	Rum Cay	NA
The Bahamas	BHS	The Bahamas	San Salvador	NA
The Bahamas	BHS	The Bahamas	South Abaco	NA
The Bahamas	BHS	The Bahamas	South Andros	NA
The Bahamas	BHS	The Bahamas	South Eleuthera	NA
The Bahamas	BHS	The Bahamas	Spanish Wells	NA
The Bahamas	BHS	The Bahamas	West Grand Bahama	NA
Barbados	BRB	Barbados	Saint George	NA
Barbados	BRB	Barbados	Saint Lucy	NA
Barbados	BRB	Barbados	Saint Andrew	NA
Barbados	BRB	Barbados	Saint Peter	NA
Barbados	BRB	Barbados	Saint James	NA
Barbados	BRB	Barbados	Saint Thomas	NA
Barbados	BRB	Barbados	Saint Joseph	NA
Barbados	BRB	Barbados	Christ Church	NA
Barbados	BRB	Barbados	Saint Michael	NA
Barbados	BRB	Barbados	Saint Philip	NA
Barbados	BRB	Barbados	Saint John	NA
Belize	BLZ	Belize	Orange Walk	Orange Walk
Belize	BLZ	Belize	Corozal	Corozal
Belize	BLZ	Belize	Belize	Belize
Belize	BLZ	Belize	Cayo	Cayo
Belize	BLZ	Belize	Stann Creek	Stann Creek
Belize	BLZ	Belize	Toledo	NA
Benin	BEN	Benin	Borgou	Borgou
Benin	BEN	Benin	Alibori	NA
Benin	BEN	Benin	Atakora	Atacora
Benin	BEN	Benin	Donga	NA
Benin	BEN	Benin	Collines	NA
Benin	BEN	Benin	Plateau	NA
Benin	BEN	Benin	Zou	Zou
