GeneName	Start	End	Strand	Type
 MPXVgp001	835	1575	-	CDS
 NBT03_gp002	1702	2751	-	CDS
 MPXVgp003	2841	4607	-	CDS
 MPXVgp004	4843	6156	-	CDS
 MPXVgp008	9587	10315	+	CDS
 MPXVgp009	10478	10858	-	CDS
 MPXVgp010	10918	12900	-	CDS
 MPXVgp011	13034	13228	-	CDS
 MPXVgp012	13375	15267	-	CDS
 MPXVgp013	15925	16377	-	CDS
 MPXVgp014	16602	17069	-	CDS
 MPXVgp015	17213	17833	-	CDS
 MPXVgp016	17878	18828	-	CDS
 MPXVgp022	19361	20005	-	CDS
 MPXVgp023	20051	20404	-	CDS
 MPXVgp024	20531	21064	-	CDS
 MPXVgp025	21105	22433	-	CDS
 MPXVgp026	22497	23159	-	CDS
 MPXVgp027	23264	24118	-	CDS
 MPXVgp028	24351	25478	-	CDS
 MPXVgp030	25823	27097	-	CDS
 MPXVgp031	27125	27955	-	CDS
 MPXVgp032	28091	28540	+	CDS
 MPXVgp033	28603	29262	-	CDS
 MPXVgp034	29274	29729	-	CDS
 MPXVgp035	29746	31194	-	CDS
 MPXVgp036	31205	32164	-	CDS
 MPXVgp037	32195	33151	-	CDS
 MPXVgp038	33181	33408	-	CDS
 MPXVgp039	33425	33649	-	CDS
 MPXVgp040	33801	33995	-	CDS
 MPXVgp041	34052	34690	-	CDS
 MPXVgp042	34677	35996	-	CDS
 MPXVgp043	36019	37083	-	CDS
 MPXVgp044	37127	39034	-	CDS
 MPXVgp045	39077	40195	-	CDS
 MPXVgp046	40213	40434	-	CDS
 MPXVgp047	40706	41182	-	CDS
 MPXVgp048	41189	41884	-	CDS
 MPXVgp049	41947	42252	+	CDS
 MPXVgp050	42249	43688	-	CDS
 MPXVgp051	43685	45898	-	CDS
 MPXVgp052	46022	46483	-	CDS
 MPXVgp053	46649	47428	-	CDS
 MPXVgp054	48201	49904	+	CDS
 MPXVgp055	49986	50486	+	CDS
 MPXVgp056	50590	51411	+	CDS
 MPXVgp057	51418	54438	-	CDS
 MPXVgp058	54470	54757	+	CDS
 MPXVgp059	54752	55141	-	CDS
 MPXVgp060	55128	57125	-	CDS
 MPXVgp061	57172	57498	-	CDS
 MPXVgp062	57645	58583	-	CDS
 MPXVgp063	58590	58811	-	CDS
 MPXVgp064	58812	59621	-	CDS
 MPXVgp065	59703	62018	-	CDS
 MPXVgp066	62046	62285	-	CDS
 MPXVgp067	62304	63452	-	CDS
 MPXVgp068	63445	64716	-	CDS
 MPXVgp069	64722	66752	+	CDS
 MPXVgp070	66756	68531	-	CDS
 MPXVgp071	68528	68863	-	CDS
 MPXVgp072	68857	69519	+	CDS
 MPXVgp073	69489	69863	-	CDS
 MPXVgp074	69866	71170	+	CDS
 MPXVgp075	71179	71370	+	CDS
 MPXVgp076	71370	71867	+	CDS
 MPXVgp077	71832	72947	-	CDS
 MPXVgp078	72978	73760	+	CDS
 MPXVgp079	73780	74802	+	CDS
 MPXVgp080	74803	75555	+	CDS
 MPXVgp081	75587	75865	+	CDS
 MPXVgp082	75841	76875	-	CDS
 MPXVgp083	76900	77655	+	CDS
 MPXVgp084	77665	78051	+	CDS
 MPXVgp085	78008	78466	+	CDS
 MPXVgp086	78486	79019	+	CDS
 MPXVgp087	79085	80086	+	CDS
 MPXVgp088	80001	80558	+	CDS
 MPXVgp089	80618	81019	-	CDS
 MPXVgp090	81126	84986	+	CDS
 MPXVgp091	84983	85498	-	CDS
 MPXVgp092	85512	86081	+	CDS
 MPXVgp093	86085	87059	-	CDS
 MPXVgp094	87060	89447	-	CDS
 MPXVgp095	89632	90264	+	CDS
 MPXVgp096	90265	91209	+	CDS
 MPXVgp097	91247	91687	+	CDS
 MPXVgp098	91731	94268	+	CDS
 MPXVgp099	94227	94667	-	CDS
 MPXVgp100	94660	95361	+	CDS
 MPXVgp101	95361	96017	+	CDS
 MPXVgp102	96049	98406	+	CDS
 MPXVgp103	98446	100359	+	CDS
 MPXVgp104	100386	100871	+	CDS
 MPXVgp105	100834	101748	-	CDS
 MPXVgp106	101790	102431	+	CDS
 MPXVgp107	102428	103174	+	CDS
 MPXVgp108	103175	105070	-	CDS
 MPXVgp109	105105	105968	-	CDS
 MPXVgp110	105999	107654	-	CDS
 MPXVgp111	107678	108130	-	CDS
 MPXVgp112	108151	108825	-	CDS
 MPXVgp113	108822	109055	-	CDS
 MPXVgp114	109070	111004	-	CDS
 MPXVgp115	111057	111902	-	CDS
 MPXVgp116	111940	112425	+	CDS
 MPXVgp117	112422	113540	-	CDS
 MPXVgp118	113564	115696	-	CDS
 MPXVgp119	115750	116628	+	CDS
 MPXVgp120	116609	116911	-	CDS
 MPXVgp121	116912	119587	-	CDS
 MPXVgp122	119602	120558	+	CDS
 MPXVgp123	120560	121132	-	CDS
 MPXVgp124	121156	121368	-	CDS
 MPXVgp125	121474	121746	-	CDS
 MPXVgp126	121914	122198	-	CDS
 MPXVgp127	122182	123315	-	CDS
 MPXVgp128	123318	123932	-	CDS
 MPXVgp129	123947	125425	+	CDS
 MPXVgp130	125406	125639	-	CDS
 MPXVgp131	125640	125987	-	CDS
 MPXVgp132	125986	127266	+	CDS
 MPXVgp133	127196	127759	+	CDS
 MPXVgp134	127779	128927	+	CDS
 MPXVgp135	128924	132418	+	CDS
 MPXVgp138	136138	137667	-	CDS
 MPXVgp139	137718	138050	-	CDS
 MPXVgp140	138051	138491	-	CDS
 MPXVgp141	138492	139409	-	CDS
 MPXVgp142	139372	139608	-	CDS
 MPXVgp143	139768	140205	+	CDS
 MPXVgp144	140172	141074	-	CDS
 MPXVgp145	141102	141647	+	CDS
 MPXVgp146	141652	142158	+	CDS
 MPXVgp147	142202	142732	+	CDS
 MPXVgp148	142778	143464	+	CDS
 MPXVgp149	143516	144322	+	CDS
 MPXVgp150	144574	145407	-	CDS
 MPXVgp151	146113	146778	-	CDS
 MPXVgp152	146988	147389	+	CDS
 MPXVgp153	147427	148017	+	CDS
 MPXVgp154	148037	148261	+	CDS
 MPXVgp155	148355	149395	-	CDS
 MPXVgp156	149442	149819	+	CDS
 MPXVgp157	149809	150531	+	CDS
 MPXVgp159	151509	152123	+	CDS
 MPXVgp160	152692	154371	+	CDS
 MPXVgp161	154412	155416	+	CDS
 MPXVgp163	158917	159858	+	CDS
 MPXVgp164	160622	161533	+	CDS
 MPXVgp165	161596	163107	+	CDS
 MPXVgp166	163333	165018	+	CDS
 MPXVgp167	165122	166075	+	CDS
 MPXVgp168	166161	166667	+	CDS
 MPXVgp169	166731	167279	+	CDS
 MPXVgp170	167334	168137	+	CDS
 MPXVgp171	168230	168895	+	CDS
 MPXVgp173	170988	172022	+	CDS
 MPXVgp174	172150	172599	+	CDS
 MPXVgp177	174532	175587	+	CDS
 MPXVgp178	175656	178019	+	CDS
 MPXVgp180	179266	180339	+	CDS
 MPXVgp182	181356	186998	+	CDS
 MPXVgp185	189199	189660	+	CDS
 MPXVgp187	190410	190940	+	CDS
 MPXVgp188	191054	192367	+	CDS
 MPXVgp189	192603	194369	+	CDS
 MPXVgp190	194459	195508	+	CDS
 MPXVgp191	195635	196375	+	CDS
